NAME                                    READY   STATUS     RESTARTS   AGE
wallet-service-cdf664586-v5gfd          0/1     CrashLoopBackOff   1 (4s ago)    3m1s
rewards-service-6b4b687997-pgcvd        0/1     Running            3 (35s ago)   3m11s
payment-service-659659875-zpd8j         0/1     CrashLoopBackOff   1 (13s ago)   3m14s
payment-service-659659875-zpd8j         0/1     Running            2 (15s ago)   3m16s
transaction-service-8cdc97998-7zcvk     0/1     CrashLoopBackOff   1 (15s ago)   3m
user-service-6c6fb6dfd5-w7kxd           0/1     CrashLoopBackOff   2 (13s ago)   3m17s
transaction-service-8cdc97998-7zcvk     0/1     Running            2 (17s ago)   3m2s
admin-service-768bfccdbb-tjg8k          0/1     Error              1 (92s ago)   3m19s
wallet-service-cdf664586-v5gfd          0/1     Running            2 (19s ago)   3m16s
admin-service-768bfccdbb-tjg8k          0/1     CrashLoopBackOff   1 (3s ago)    3m21s
kyc-service-684555864-nsfd8             0/1     Error              1 (85s ago)   3m1s
user-service-6c6fb6dfd5-w7kxd           0/1     Running            3 (32s ago)   3m36s
admin-service-768bfccdbb-tjg8k          0/1     Running            2 (20s ago)   3m38s
notification-service-758488686f-sw29v   0/1     Error              1             3m10s
rewards-service-6b4b687997-pgcvd        0/1     Error              3 (67s ago)   3m43s
kyc-service-684555864-nsfd8             0/1     CrashLoopBackOff   1 (16s ago)   3m16s
kyc-service-684555864-nsfd8             0/1     Running            2 (18s ago)   3m18s
notification-service-758488686f-sw29v   0/1     CrashLoopBackOff   1 (11s ago)   3m20s
notification-service-758488686f-sw29v   0/1     Running            2 (13s ago)   3m22s
rewards-service-6b4b687997-pgcvd        0/1     CrashLoopBackOff   3 (14s ago)   3m56s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              3 (63s ago)   4m7s
transaction-service-8cdc97998-7zcvk     0/1     Error              2 (67s ago)   3m52s
payment-service-659659875-zpd8j         0/1     Error              2 (74s ago)   4m15s
transaction-service-8cdc97998-7zcvk     0/1     CrashLoopBackOff   2 (8s ago)    4m
wallet-service-cdf664586-v5gfd          0/1     Error              2 (75s ago)   4m12s
user-service-6c6fb6dfd5-w7kxd           0/1     CrashLoopBackOff   3 (15s ago)   4m21s
payment-service-659659875-zpd8j         0/1     CrashLoopBackOff   2 (7s ago)    4m21s
wallet-service-cdf664586-v5gfd          0/1     CrashLoopBackOff   2 (9s ago)    4m21s
rewards-service-6b4b687997-pgcvd        0/1     Running            4 (45s ago)   4m27s
transaction-service-8cdc97998-7zcvk     0/1     Running            3 (23s ago)   4m15s
wallet-service-cdf664586-v5gfd          0/1     Running            3 (25s ago)   4m37s
payment-service-659659875-zpd8j         0/1     Running            3 (34s ago)   4m48s
admin-service-768bfccdbb-tjg8k          0/1     Error              2 (98s ago)   4m56s
user-service-6c6fb6dfd5-w7kxd           0/1     Running            4 (52s ago)   4m58s
rewards-service-6b4b687997-pgcvd        0/1     Error              4 (78s ago)   5m
kyc-service-684555864-nsfd8             0/1     Error              2 (90s ago)   4m30s
admin-service-768bfccdbb-tjg8k          0/1     CrashLoopBackOff   2 (6s ago)    5m1s
rewards-service-6b4b687997-pgcvd        0/1     CrashLoopBackOff   4 (1s ago)    5m1s
notification-service-758488686f-sw29v   0/1     Error              2 (90s ago)   4m39s
notification-service-758488686f-sw29v   0/1     CrashLoopBackOff   2 (1s ago)    4m40s
kyc-service-684555864-nsfd8             0/1     CrashLoopBackOff   2 (11s ago)   4m40s
transaction-service-8cdc97998-7zcvk     0/1     Error              3 (70s ago)   5m2s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              4 (77s ago)   5m23s
kyc-service-684555864-nsfd8             0/1     Running            3 (28s ago)   4m57s
transaction-service-8cdc97998-7zcvk     0/1     CrashLoopBackOff   3 (13s ago)   5m14s
admin-service-768bfccdbb-tjg8k          0/1     Running            3 (34s ago)   5m29s
user-service-6c6fb6dfd5-w7kxd           0/1     CrashLoopBackOff   4 (14s ago)   5m36s
wallet-service-cdf664586-v5gfd          0/1     Error              3 (79s ago)   5m31s
notification-service-758488686f-sw29v   0/1     Running            3 (30s ago)   5m9s
payment-service-659659875-zpd8j         0/1     Error              3 (87s ago)   5m41s
wallet-service-cdf664586-v5gfd          0/1     CrashLoopBackOff   3 (10s ago)   5m41s
user-service-6c6fb6dfd5-w7kxd           0/1     Terminating        4 (26s ago)   5m48s
user-service-6c6fb6dfd5-w7kxd           0/1     Terminating        4             5m48s
admin-service-768bfccdbb-tjg8k          0/1     Terminating        3 (51s ago)   5m46s
admin-service-768bfccdbb-tjg8k          0/1     Terminating        3 (51s ago)   5m46s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              4             5m48s
kyc-service-684555864-nsfd8             0/1     Terminating        3 (47s ago)   5m16s
kyc-service-684555864-nsfd8             0/1     Terminating        3 (47s ago)   5m16s
wallet-service-cdf664586-v5gfd          0/1     Terminating        3 (10s ago)   5m41s
payment-service-659659875-zpd8j         0/1     Terminating        3 (93s ago)   5m47s
wallet-service-cdf664586-v5gfd          0/1     Terminating        3             5m42s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              4             5m49s
transaction-service-8cdc97998-7zcvk     0/1     Terminating        3 (31s ago)   5m32s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              4             5m49s
transaction-service-8cdc97998-7zcvk     0/1     Terminating        3             5m32s
payment-service-659659875-zpd8j         0/1     Terminating        3             5m48s
notification-service-758488686f-sw29v   0/1     Terminating        3 (38s ago)   5m17s
wallet-service-cdf664586-v5gfd          0/1     Error              3             5m42s
payment-service-659659875-zpd8j         0/1     Error              3             5m48s
notification-service-758488686f-sw29v   0/1     Terminating        3 (38s ago)   5m17s
user-service-6bc99c8d97-dktts           0/1     Pending            0             0s
user-service-6bc99c8d97-dktts           0/1     Pending            0             0s
transaction-service-8cdc97998-7zcvk     0/1     Error              3             5m32s
rewards-service-6b4b687997-pgcvd        0/1     Terminating        4 (47s ago)   5m47s
user-service-6bc99c8d97-dktts           0/1     Init:0/1           0             0s
rewards-service-6b4b687997-pgcvd        0/1     Terminating        4             5m47s
